source_concept_id,source_term,map_method,target_concept_id,target_concept_name,predicate,target_concept_id_b,target_concept_name_b,predicate_b,cleaned_term,mapped_concept_id,mapped_concept_name,is_correct,mapped_rationale,overall_accuracy
1102680,Developmental and epileptic encephalopathy,verbatim,37168142,Developmental and epileptic encephalopathy,exactMatch,,,,Developmental and epileptic encephalopathy,37168142,Developmental and epileptic encephalopathy,True,,0.8567567567567568
1102696,"Anal fistula, unspecified",verbatim,37203984,Anal fistula,exactMatch,,,,Anal fistula,36768488,Anal fistula,False,,0.8567567567567568
1102730,"Lichen planopilaris, unspecified",verbatim,4276173,Lichen planopilaris,exactMatch,,,,Lichen planopilaris,4276173,Lichen planopilaris,True,,0.8567567567567568
1102732,Frontal fibrosing alopecia,verbatim,37399021,Frontal fibrosing alopecia,exactMatch,,,,Frontal fibrosing alopecia,37399021,Frontal fibrosing alopecia,True,,0.8567567567567568
1102745,"Unspecified synovitis and tenosynovitis, unspecified site",verbatim,74728,Synovitis and tenosynovitis,exactMatch,,,,synovitis and tenosynovitis,74728,Synovitis and tenosynovitis,True,,0.8567567567567568
1102776,Bicuspid aortic valve,verbatim,4218450,Bicuspid aortic valve,exactMatch,,,,Bicuspid aortic valve,4218450,Bicuspid aortic valve,True,,0.8567567567567568
1102780,Anosognosia,verbatim,4050254,Anosognosia,exactMatch,,,,Anosognosia,4050254,Anosognosia,True,,0.8567567567567568
1326600,Right heart failure,verbatim,4273632,Right ventricular failure,exactMatch,,,,Right heart failure,4273632,Right ventricular failure,True,,0.8567567567567568
1326717,"Unspecified lump in the left breast, unspecified quadrant",verbatim,760895,Mass of left breast,exactMatch,,,,lump in left breast,760895,Mass of left breast,True,,0.8567567567567568
1335082,Grey matter heterotopia,verbatim,4099082,Neuronal heterotopia,exactMatch,4145642.0,Ectopic gray matter,exactMatch,Grey matter heterotopia,40487944,Neuronal heterotopia,False,,0.8567567567567568
1335147,Shprintzen-Goldberg syndrome,verbatim,36717691,Shprintzen Goldberg craniosynostosis syndrome,exactMatch,,,,Shprintzen-Goldberg syndrome,36717691,Shprintzen Goldberg craniosynostosis syndrome,True,,0.8567567567567568
1402645,"Paraganglioma, NOS",verbatim,4120306,Paraganglioma,exactMatch,,,,Paraganglioma,4196794,Paraganglioma,False,,0.8567567567567568
1402983,Salmonella pneumonia (machine translation),verbatim,258333,Salmonella pneumonia,exactMatch,,,,Salmonella pneumonia (machine translation),258333,Salmonella pneumonia,True,,0.8567567567567568
1403958,Other and unspecified syphilis,verbatim,436033,Syphilis,exactMatch,,,,syphilis,436033,Syphilis,True,,0.8567567567567568
1405272,Unspecified intestinal parasitism,verbatim,196347,Intestinal parasitism,exactMatch,,,,intestinal parasitism,196347,Intestinal parasitism,True,,0.8567567567567568
1411230,"Bacterial meningitis, unspecified",verbatim,436091,Bacterial meningitis,exactMatch,,,,Bacterial meningitis,436091,Bacterial meningitis,True,,0.8567567567567568
1411284,Ventriculitis (machine translation),verbatim,43531591,Ventriculitis of the brain,exactMatch,,,,Ventriculitis (machine translation),42572744,Ventriculitis,False,,0.8567567567567568
1411837,Other cranial nerve disorders in other diseases classified elsewhere,verbatim,441848,Cranial nerve disorder,exactMatch,,,,cranial nerve disorders,441848,Cranial nerve disorder,True,,0.8567567567567568
1413087,Disorders of other visual pathways,verbatim,257293,Disorder of visual pathways,exactMatch,,,,Disorders of visual pathways,257293,Disorder of visual pathways,True,,0.8567567567567568
1421687,Other lower urinary tract calculus,verbatim,197028,Calculus of lower urinary tract,exactMatch,,,,lower urinary tract calculus,197028,Calculus of lower urinary tract,True,,0.8567567567567568
1421945,Other specified urinary incontinence,verbatim,197672,Urinary incontinence,exactMatch,,,,urinary incontinence,197672,Urinary incontinence,True,,0.8567567567567568
1423535,Malformation of placenta,verbatim,4143187,Anomaly of placenta,exactMatch,,,,Malformation of placenta,4143187,Anomaly of placenta,True,,0.8567567567567568
1424031,Toxic reaction to local anaesthesia during the puerperium,verbatim,4061350,Toxic reaction to local anesthesia during the puerperium,exactMatch,,,,Toxic reaction to local anaesthesia during the puerperium,4061350,Toxic reaction to local anesthesia during the puerperium,True,,0.8567567567567568
1427062,"Other congenital malformations, not elsewhere classified",verbatim,4079975,Congenital malformation,exactMatch,,,,congenital malformations,4079975,Congenital malformation,True,,0.8567567567567568
1427845,Abnormal plasma viscosity,verbatim,4168839,Plasma viscosity outside reference range,exactMatch,,,,Abnormal plasma viscosity,4168839,Plasma viscosity outside reference range,True,,0.8567567567567568
1429181,Injury of other pelvic organs,verbatim,201436,Injury of pelvic organ,exactMatch,,,,Injury of pelvic organs,201436,Injury of pelvic organ,True,,0.8567567567567568
1434620,"Twins, both stillborn",verbatim,4015162,Twins - both stillborn,exactMatch,,,,"Twins, both stillborn",4015162,Twins - both stillborn,True,,0.8567567567567568
1529217,"Chronic viral hepatitis B without delta-agent, other and unspecified phase",verbatim,439674,Chronic viral hepatitis B without delta-agent,exactMatch,,,,Chronic viral hepatitis B without delta-agent,439674,Chronic viral hepatitis B without delta-agent,True,,0.8567567567567568
1567318,Trichomoniasis,verbatim,434872,Infection by Trichomonas,exactMatch,,,,Trichomoniasis,434872,Infection by Trichomonas,True,,0.8567567567567568
1568090,"Unspecified dementia, unspecified severity",verbatim,4182210,Dementia,exactMatch,,,,dementia,4182210,Dementia,True,,0.8567567567567568
1568207,Other schizophrenia,verbatim,435783,Schizophrenia,exactMatch,,,,schizophrenia,35823457,Schizophrenia,False,,0.8567567567567568
1568357,"Drug-induced headache, not elsewhere classified",verbatim,46270383,Headache caused by drug,exactMatch,,,,Drug-induced headache,46270383,Headache caused by drug,True,,0.8567567567567568
1569462,Influenza due to unidentified influenza virus,verbatim,4266367,Influenza,exactMatch,,,,Influenza,4266367,Influenza,True,,0.8567567567567568
1569473,Other allergic rhinitis,verbatim,257007,Allergic rhinitis,exactMatch,,,,allergic rhinitis,257007,Allergic rhinitis,True,,0.8567567567567568
1569701,Other intestinal malabsorption,verbatim,194993,Intestinal malabsorption,exactMatch,,,,intestinal malabsorption,194993,Intestinal malabsorption,True,,0.8567567567567568
1571843,"Antepartum hemorrhage, unspecified",verbatim,434089,Antepartum hemorrhage,exactMatch,,,,Antepartum hemorrhage,434089,Antepartum hemorrhage,True,,0.8567567567567568
1572120,Congenital deformities of hip,verbatim,77373,Congenital deformity of hip joint,exactMatch,,,,Congenital deformities of hip,77373,Congenital deformity of hip joint,True,,0.8567567567567568
1572254,Fever of other and unknown origin,verbatim,437663,Fever,exactMatch,4328373.0,Pyrexia of unknown origin,exactMatch,Fever,437663,Fever,True,,0.8567567567567568
1572283,Proteinuria,verbatim,75650,Proteinuria,exactMatch,,,,Proteinuria,75650,Proteinuria,True,,0.8567567567567568
1572685,Unspecified injury of bronchus,verbatim,4133990,Injury of bronchus,exactMatch,,,,injury of bronchus,4133990,Injury of bronchus,True,,0.8567567567567568
1572934,Unspecified fracture of upper end of humerus,verbatim,4133610,Fracture of upper end of humerus,exactMatch,,,,fracture of upper end of humerus,4133610,Fracture of upper end of humerus,True,,0.8567567567567568
1574091,Fracture of unspecified tarsal bone(s),verbatim,4134336,Fracture of tarsal bone,exactMatch,,,,Fracture of tarsal bone,4134336,Fracture of tarsal bone,True,,0.8567567567567568
1574259,Foreign body in other parts of respiratory tract,verbatim,4094822,Foreign body in respiratory tract,exactMatch,,,,Foreign body in respiratory tract,4094822,Foreign body in respiratory tract,True,,0.8567567567567568
1574368,Burn of unspecified degree of wrist and hand,verbatim,3657564,Burn of wrist and hand,exactMatch,,,,Burn of wrist and hand,3657564,Burn of wrist and hand,True,,0.8567567567567568
35104255,Polycythaemia vera,verbatim,135214,Polycythemia vera (clinical),exactMatch,,,,Polycythaemia vera,4030270,Polycythemia vera,False,,0.8567567567567568
35205597,Gonococcal pharyngitis,verbatim,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,True,,0.8567567567567568
35205691,Lymphocytic choriomeningitis,verbatim,434860,Meningitis caused by lymphocytic choriomeningitis virus,exactMatch,,,,Lymphocytic choriomeningitis,434860,Meningitis caused by lymphocytic choriomeningitis virus,True,,0.8567567567567568
35206716,"Anemia due to enzyme disorder, unspecified",verbatim,444238,Anemia due to enzyme deficiency,exactMatch,601114.0,Anemia due to enzymopathy,exactMatch,Anemia due to enzyme disorder,601114,Anemia due to enzymopathy,True,,0.8567567567567568
35206744,Drug-induced aplastic anemia,verbatim,4146088,Aplastic anemia due to drugs,exactMatch,,,,Drug-induced aplastic anemia,4146088,Aplastic anemia due to drugs,True,,0.8567567567567568
35207645,Rheumatic mitral stenosis with insufficiency,verbatim,4301373,Rheumatic mitral stenosis with regurgitation,exactMatch,,,,Rheumatic mitral stenosis with insufficiency,4301373,Rheumatic mitral stenosis with regurgitation,True,,0.8567567567567568
35207682,Other forms of angina pectoris,verbatim,321318,Angina pectoris,exactMatch,,,,angina pectoris,38001139,Angina pectoris,False,,0.8567567567567568
35207700,Other forms of acute ischemic heart disease,verbatim,319844,Acute ischemic heart disease,exactMatch,,,,acute ischemic heart disease,319844,Acute ischemic heart disease,True,,0.8567567567567568
35208494,"Anogenital pruritus, unspecified",verbatim,36685964,Pruritis of skin of anogenital region,exactMatch,,,,Anogenital pruritus,36685964,Pruritis of skin of anogenital region,True,,0.8567567567567568
35209278,"Chronic kidney disease, stage 5",verbatim,443611,Chronic kidney disease stage 5,exactMatch,,,,"Chronic kidney disease, stage 5",443611,Chronic kidney disease stage 5,True,,0.8567567567567568
35209296,"Small kidney, unspecified",verbatim,195861,Small kidney,exactMatch,,,,Small kidney,195861,Small kidney,True,,0.8567567567567568
35210484,Respiratory distress syndrome of newborn,verbatim,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Respiratory distress syndrome of newborn,258866,Respiratory distress syndrome in the newborn,True,,0.8567567567567568
35210962,Other congenital malformations of liver,verbatim,444421,Congenital anomaly of liver,exactMatch,,,,congenital malformations of liver,444421,Congenital anomaly of liver,True,,0.8567567567567568
35225305,Family history of malignant neoplasm of digestive organs,verbatim,4334494,Family history of malignant neoplasm of digestive organ,exactMatch,,,,Family history of malignant neoplasm of digestive organs,4334494,Family history of malignant neoplasm of digestive organ,True,,0.8567567567567568
35305794,Galactosaemia,verbatim,439788,Galactosemia,exactMatch,,,,Galactosaemia,439788,Galactosemia,True,,0.8567567567567568
35305997,Congenital joint malformation,verbatim,4316226,Congenital anomaly of joint,exactMatch,,,,Congenital joint malformation,4316226,Congenital anomaly of joint,True,,0.8567567567567568
35607283,Miller Fisher syndrome,verbatim,4070552,Fisher's syndrome,exactMatch,,,,Miller Fisher syndrome,4070552,Fisher's syndrome,True,,0.8567567567567568
35634774,Squint,verbatim,4329707,Strabismus,exactMatch,,,,Squint,4329707,Strabismus,True,,0.8567567567567568
35707597,Gastric cyst,verbatim,37109182,Cyst of stomach,exactMatch,,,,Gastric cyst,37109182,Cyst of stomach,True,,0.8567567567567568
35708587,Foot and mouth disease,verbatim,4141481,Hand foot and mouth disease,exactMatch,,,,Foot and mouth disease,42574126,Foot and mouth disease,False,,0.8567567567567568
35739339,Colonic perforation,verbatim,4177183,Perforation of colon,exactMatch,,,,Colonic perforation,4177183,Perforation of colon,True,,0.8567567567567568
36045304,Systemic anaphylaxis,verbatim,441202,Anaphylaxis,exactMatch,,,,Systemic anaphylaxis,441202,Anaphylaxis,True,,0.8567567567567568
36818761,Neonatal respiratory distress syndrome,verbatim,258866,Respiratory distress syndrome in the newborn,exactMatch,,,,Neonatal respiratory distress syndrome,258866,Respiratory distress syndrome in the newborn,True,,0.8567567567567568
36919053,Affective disorder,verbatim,444100,Mood disorder,exactMatch,,,,Affective disorder,444100,Mood disorder,True,,0.8567567567567568
37081344,"Acute nephritic syndrome, Other",verbatim,4189531,Acute nephritis,exactMatch,4298809.0,Nephritic syndrome,broadMatch,Acute nephritic syndrome,4189531,Acute nephritis,True,,0.8567567567567568
37081789,Other specified salmonella infections,verbatim,133685,Salmonella infection,exactMatch,,,,salmonella infections,133685,Salmonella infection,True,,0.8567567567567568
37083265,Parkinson disease,verbatim,381270,Parkinson's disease,exactMatch,,,,Parkinson disease,381270,Parkinson's disease,True,,0.8567567567567568
37084958,"Lymphoedema, not elsewhere classified",verbatim,435839,Lymphedema,exactMatch,,,,Lymphoedema,4147210,Lymphatic edema,False,,0.8567567567567568
37085667,West Nile virus infection,verbatim,438970,Disease caused by West Nile virus,exactMatch,,,,West Nile virus infection,438970,Disease caused by West Nile virus,True,,0.8567567567567568
37085900,Rubella without complication,verbatim,4273323,Rubella,exactMatch,,,,Rubella,4273323,Rubella,True,,0.8567567567567568
37086807,"Chronic viral hepatitis, unspecified",verbatim,4012113,Chronic viral hepatitis,exactMatch,,,,Chronic viral hepatitis,4012113,Chronic viral hepatitis,True,,0.8567567567567568
37087206,"Juvenile ankylosing spondylitis, other",verbatim,4083681,Juvenile ankylosing spondylitis,exactMatch,,,,Juvenile ankylosing spondylitis,4083681,Juvenile ankylosing spondylitis,True,,0.8567567567567568
37089004,"Myositis, unspecified",verbatim,73001,Myositis,exactMatch,,,,Myositis,73001,Myositis,True,,0.8567567567567568
37090172,Disorders of continuity of bone,verbatim,4344386,Disorder of continuity of bone,exactMatch,,,,Disorders of continuity of bone,4344386,Disorder of continuity of bone,True,,0.8567567567567568
37090672,Other specified disorders of bone,verbatim,75909,Disorder of bone,exactMatch,,,,disorders of bone,75909,Disorder of bone,True,,0.8567567567567568
37091304,"Disorder of prostate, unspecified",verbatim,196734,Disorder of prostate,exactMatch,,,,Disorder of prostate,196734,Disorder of prostate,True,,0.8567567567567568
37091889,Other premature separation of placenta,verbatim,198488,Placental abruption,exactMatch,,,,premature separation of placenta,198488,Placental abruption,True,,0.8567567567567568
37092153,Malignant neoplasm: Overlapping lesion of floor of mouth,verbatim,140955,Overlapping malignant neoplasm of floor of mouth,exactMatch,,,,Malignant neoplasm: Overlapping lesion of floor of mouth,140955,Overlapping malignant neoplasm of floor of mouth,True,,0.8567567567567568
37092544,Other neonatal aspiration syndromes,verbatim,434154,Neonatal aspiration syndrome,exactMatch,,,,neonatal aspiration syndromes,434154,Neonatal aspiration syndrome,True,,0.8567567567567568
37093223,"Congenital malformations of lips, not elsewhere classified",verbatim,4033966,Congenital anomaly of lip,exactMatch,,,,Congenital malformations of lips,4033966,Congenital anomaly of lip,True,,0.8567567567567568
37093308,Unicornate uterus,verbatim,4028991,Uterus unicornis,exactMatch,,,,Unicornate uterus,4028991,Uterus unicornis,True,,0.8567567567567568
37201112,"Other coma, without documented Glasgow coma scale score, or with partial score reported, 24 hours or more after hospital admission",verbatim,380834,Coma,broadMatch,380834.0,Coma,exactMatch,coma,380834,Coma,True,,0.8567567567567568
37223508,"Other specific joint derangements, not elsewhere classified, other",verbatim,78228,Joint derangement,exactMatch,,,,joint derangements,78228,Joint derangement,True,,0.8567567567567568
37224058,"Enterobacterial spondylitis, site unspecified",verbatim,4068478,Enterobacterial spondylitis,exactMatch,,,,Enterobacterial spondylitis,4068478,Enterobacterial spondylitis,True,,0.8567567567567568
37224088,"Collapsed vertebra in diseases classified elsewhere, site unspecified",verbatim,4222001,Collapse of vertebra,exactMatch,,,,Collapsed vertebra,4222001,Collapse of vertebra,True,,0.8567567567567568
37224682,"Necrotizing fasciitis, other",verbatim,133566,Necrotizing fasciitis,exactMatch,,,,Necrotizing fasciitis,133566,Necrotizing fasciitis,True,,0.8567567567567568
37383969,Exanthem,verbatim,140214,Eruption,broadMatch,,,,Exanthem,140214,Eruption,False,,0.8567567567567568
37604162,Abnormal results of liver function studies,verbatim,438878,Liver function tests outside reference range,exactMatch,,,,Abnormal results of liver function studies,438878,Liver function tests outside reference range,True,,0.8567567567567568
37605737,Ventricular premature depolarization,verbatim,4089462,Ventricular premature complex,exactMatch,,,,Ventricular premature depolarization,4089462,Ventricular premature complex,True,,0.8567567567567568
37606919,Other osteomyelitis,verbatim,141663,Osteomyelitis,exactMatch,,,,osteomyelitis,141663,Osteomyelitis,True,,0.8567567567567568
37607165,Other schizophrenia,verbatim,435783,Schizophrenia,exactMatch,,,,schizophrenia,35823457,Schizophrenia,False,,0.8567567567567568
37607571,Exposure to noise,verbatim,434238,Exposed to noise,exactMatch,,,,Exposure to noise,434238,Exposed to noise,True,,0.8567567567567568
37608196,Disorders of zinc metabolism,verbatim,4263312,Disorder of zinc metabolism,exactMatch,,,,Disorders of zinc metabolism,4263312,Disorder of zinc metabolism,True,,0.8567567567567568
37608458,Other retinal detachments,verbatim,378414,Retinal detachment,exactMatch,,,,retinal detachments,36769851,Retinal detachment,False,,0.8567567567567568
37609134,Other specified diseases of upper respiratory tract,verbatim,254068,Disorder of upper respiratory system,exactMatch,,,,diseases of upper respiratory tract,254068,Disorder of upper respiratory system,True,,0.8567567567567568
37609365,Lack of physical exercise,verbatim,4165091,Lack of exercise,exactMatch,,,,Lack of physical exercise,4165091,Lack of exercise,True,,0.8567567567567568
37609391,Other mononeuropathies of lower limb,verbatim,43531028,Mononeuropathy of lower limb,exactMatch,,,,mononeuropathies of lower limb,43531028,Mononeuropathy of lower limb,True,,0.8567567567567568
37610161,Toxic epidermal necrolysis [Lyell],verbatim,35625873,Lyell syndrome,exactMatch,,,,Toxic epidermal necrolysis,35625873,Lyell syndrome,True,,0.8567567567567568
37610986,"Tricuspid valve disease, unspecified",verbatim,316993,Tricuspid valve disorder,exactMatch,,,,Tricuspid valve disease,316993,Tricuspid valve disorder,True,,0.8567567567567568
37611086,Acute posthaemorrhagic anaemia,verbatim,434894,Acute posthemorrhagic anemia,exactMatch,,,,Acute posthaemorrhagic anaemia,434894,Acute posthemorrhagic anemia,True,,0.8567567567567568
37612241,Other gender identity disorders,verbatim,4338512,Gender identity disorder,exactMatch,,,,gender identity disorders,4338512,Gender identity disorder,True,,0.8567567567567568
37612559,Gonococcal pharyngitis,verbatim,30333,Gonorrhea of pharynx,exactMatch,,,,Gonococcal pharyngitis,30333,Gonorrhea of pharynx,True,,0.8567567567567568
37613473,Eclampsia in labour,verbatim,4034096,Eclampsia in labor,exactMatch,,,,Eclampsia in labour,4034096,Eclampsia in labor,True,,0.8567567567567568
37613552,Irritant contact dermatitis due to other agents,verbatim,4004352,Irritant contact dermatitis,exactMatch,,,,Irritant contact dermatitis,4004352,Irritant contact dermatitis,True,,0.8567567567567568
37615331,"Mixed conductive and sensorineural hearing loss, unspecified",verbatim,379832,Mixed conductive AND sensorineural hearing loss,exactMatch,,,,Mixed conductive and sensorineural hearing loss,379832,Mixed conductive AND sensorineural hearing loss,True,,0.8567567567567568
37688988,Aortic sclerosis,verbatim,4195690,Aortic valve sclerosis,exactMatch,,,,Aortic sclerosis,4195690,Aortic valve sclerosis,True,,0.8567567567567568
42484116,Other specified viral encephalitis,verbatim,372547,Viral encephalitis,exactMatch,,,,viral encephalitis,372547,Viral encephalitis,True,,0.8567567567567568
42484592,Other specified infestations,verbatim,432251,Parasitic disease,exactMatch,,,,infestations,432251,Parasitic disease,True,,0.8567567567567568
42484594,Unspecified parasitic disease,verbatim,432251,Parasitic disease,exactMatch,,,,parasitic disease,432251,Parasitic disease,True,,0.8567567567567568
42485220,"Non-Hodgkin lymphoma, unspecified",verbatim,4038838,Non-Hodgkin's lymphoma (clinical),exactMatch,,,,Non-Hodgkin lymphoma,37156353,Non-Hodgkin lymphoma,False,,0.8567567567567568
42485669,"Neoplasm of uncertain or unknwon behavior of endocrine gland, unspecified",verbatim,4302836,Neoplasm of endocrine gland,exactMatch,,,,Neoplasm of endocrine gland,4302836,Neoplasm of endocrine gland,True,,0.8567567567567568
42485732,Thalassaemia,verbatim,30978,Thalassemia,exactMatch,,,,Thalassaemia,30978,Thalassemia,True,,0.8567567567567568
42486231,"Hyperaldosteronism, unspecified",verbatim,195213,Hyperaldosteronism,exactMatch,,,,Hyperaldosteronism,195213,Hyperaldosteronism,True,,0.8567567567567568
42486310,Other vitamin deficiencies,verbatim,436658,Vitamin deficiency,exactMatch,,,,vitamin deficiencies,436658,Vitamin deficiency,True,,0.8567567567567568
42486319,Copper deficiency,verbatim,4024266,Hypocupremia,exactMatch,,,,Copper deficiency,4024266,Hypocupremia,True,,0.8567567567567568
42486358,Disorders of tyrosine metabolism,verbatim,4291019,Disorder of tyrosine metabolism,exactMatch,,,,Disorders of tyrosine metabolism,4291019,Disorder of tyrosine metabolism,True,,0.8567567567567568
42486889,Childhood autism,verbatim,434902,Autistic disorder of childhood onset,exactMatch,,,,Childhood autism,434902,Autistic disorder of childhood onset,True,,0.8567567567567568
42486962,"Meningitis, unspecified",verbatim,435785,Meningitis,exactMatch,,,,Meningitis,435785,Meningitis,True,,0.8567567567567568
42487128,"Migraine, unspecified",verbatim,318736,Migraine,exactMatch,,,,Migraine,318736,Migraine,True,,0.8567567567567568
42489037,Other specified chronic obstructive pulmonary disease,verbatim,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,True,,0.8567567567567568
42489041,"Other specified chronic obstructive pulmonary disease, unspecified",verbatim,255573,Chronic obstructive pulmonary disease,exactMatch,,,,chronic obstructive pulmonary disease,255573,Chronic obstructive pulmonary disease,True,,0.8567567567567568
42489065,Status asthmaticus,verbatim,37116845,Acute severe refractory exacerbation of asthma,exactMatch,,,,Status asthmaticus,37116845,Acute severe refractory exacerbation of asthma,True,,0.8567567567567568
42489347,Acute periodontitis,verbatim,132943,Acute periodontitis,exactMatch,,,,Acute periodontitis,132943,Acute periodontitis,True,,0.8567567567567568
42489389,"Anomaly of jaw size, unspecified",verbatim,45757682,Anomaly of jaw size,exactMatch,,,,Anomaly of jaw size,45757682,Anomaly of jaw size,True,,0.8567567567567568
42489473,Disturbances of salivary secretion,verbatim,27587,Disturbance of salivary secretion,exactMatch,,,,Disturbances of salivary secretion,27587,Disturbance of salivary secretion,True,,0.8567567567567568
42489570,Chronic or unspecified gastrojejunal ulcer with hemorrhage,verbatim,433515,Chronic gastrojejunal ulcer with hemorrhage,exactMatch,,,,Chronic gastrojejunal ulcer with hemorrhage,433515,Chronic gastrojejunal ulcer with hemorrhage,True,,0.8567567567567568
42489572,Chronic or unspecified gastrojejunal ulcer with both hemorrhage and perforation,verbatim,4164920,Chronic gastrojejunal ulcer with hemorrhage and perforation,exactMatch,,,,Chronic gastrojejunal ulcer with hemorrhage and perforation,4164920,Chronic gastrojejunal ulcer with hemorrhage and perforation,True,,0.8567567567567568
42489855,"Alcoholic liver disease, unspecified",verbatim,201612,Alcoholic liver damage,exactMatch,,,,Alcoholic liver disease,201612,Alcoholic liver damage,True,,0.8567567567567568
42489917,"Biliary cirrhosis, unspecified, unspecified",verbatim,192675,Biliary cirrhosis,exactMatch,,,,Biliary cirrhosis,192675,Biliary cirrhosis,True,,0.8567567567567568
42490480,Other disorders of skin and subcutaneous tissue in diseases classified elsewhere,verbatim,200174,Disorder of skin and/or subcutaneous tissue,exactMatch,,,,disorders of skin and subcutaneous tissue,200174,Disorder of skin and/or subcutaneous tissue,True,,0.8567567567567568
42491704,"Loose body in joint, site unspecified",verbatim,79104,Loose body in joint,exactMatch,,,,Loose body in joint,79104,Loose body in joint,True,,0.8567567567567568
42491927,Other forms of systemic lupus erythematosus,verbatim,257628,Systemic lupus erythematosus,exactMatch,,,,systemic lupus erythematosus,257628,Systemic lupus erythematosus,True,,0.8567567567567568
42492784,Other calcification of muscle,verbatim,40490403,Calcification of muscle,exactMatch,,,,calcification of muscle,40490403,Calcification of muscle,True,,0.8567567567567568
42492923,Other disorders of muscle in diseases classified elsewhere,verbatim,137275,Disorder of muscle,exactMatch,,,,disorders of muscle,137275,Disorder of muscle,True,,0.8567567567567568
42492978,"Other synovitis and tenosynovitis, other",verbatim,74728,Synovitis and tenosynovitis,exactMatch,,,,synovitis and tenosynovitis,74728,Synovitis and tenosynovitis,True,,0.8567567567567568
42493024,"Spontaneous rupture of flexor tendons, other",verbatim,4188441,Spontaneous rupture of flexor tendons,exactMatch,,,,Spontaneous rupture of flexor tendons,4188441,Spontaneous rupture of flexor tendons,True,,0.8567567567567568
42493483,Other specified soft tissue disorders,verbatim,376208,Disorder of soft tissue,exactMatch,,,,soft tissue disorders,376208,Disorder of soft tissue,True,,0.8567567567567568
42494383,"Chondromalacia, site unspecified",verbatim,438531,Chondromalacia,exactMatch,,,,Chondromalacia,438531,Chondromalacia,True,,0.8567567567567568
42495402,Prolonged pregnancy,verbatim,432695,Post-term pregnancy,exactMatch,,,,Prolonged pregnancy,432695,Post-term pregnancy,True,,0.8567567567567568
42495425,Failed medical induction of labour,verbatim,438491,Failed medical induction of labor,exactMatch,,,,Failed medical induction of labour,438491,Failed medical induction of labor,True,,0.8567567567567568
42496937,Frequency of micturition,verbatim,4270128,Frequency of urination,exactMatch,200843.0,Finding of frequency of urination,exactMatch,Frequency of micturition,200843,Finding of frequency of urination,True,,0.8567567567567568
42498186,Open wound of other and unspecified external genital organs,verbatim,4239520,Open wound of external genital organs,exactMatch,,,,Open wound of external genital organs,4239520,Open wound of external genital organs,True,,0.8567567567567568
42502994,Inhalation of gastric contents,verbatim,254163,Pulmonary aspiration of gastric contents,exactMatch,,,,Inhalation of gastric contents,254163,Pulmonary aspiration of gastric contents,True,,0.8567567567567568
42505348,Menstrual extraction,verbatim,2004528,Menstrual extraction or regulation,exactMatch,,,,Menstrual extraction,2004528,Menstrual extraction or regulation,True,,0.8567567567567568
